sentence,generalizing,promoting,identity,attribute
"Google says that in general terms a Young Turk refers to ""a young person who is impatient to bring about radical change, someone who has revolutionary, new ideas and is impatient to implement them"".",0,0.0,Turk,impatient
"From the award-winning director of “Tibet: Beyond Fear”, Free China: The Courage to Believe, examines the widespread human rights violations in China through the remarkable and uplifting stories of Jennifer Zeng, a mother and former Communist Party member, and Dr. Charles Lee, a Chinese American businessman, who along with hundreds of thousands of peaceful citizens are imprisoned, tortured and even killed for their organs.",0,0.0,American,peaceful
"Following the war, the Air Cadet Program’s aims and training were changed to meet more practical needs of Canadian youth.",0,0.0,Canadian,practical
"The lawyer for a truck driver accused of being drunk when he fatally struck an Australian woman cycling in New York, said his client wasn’t impaired by alcohol as he ate a chicken-salad sandwich earlier that day.",0,0.0,Australian,drunk
"At Human Rhythms New Zealand we are focused on facilitating an event that connects your people, helps them recognise the importance of teamwork and keeps them engaged – all within a relaxed and fun environment.",0,0.0,New Zealand,relaxed
It is concerned about poorly positioned and unattractive Australian ports being unable to survive with such an amount of traffic.,0,0.0,Australian,unattractive
"Moreover, 36% have drunk Australian wine in the past six months.",0,0.0,Australian,drunk
"South Korea would suddenly become resource rich, and South Korean companies would gain access to a pool of hardworking, inexpensive North Korean labour.",0,0.0,North Korean,hardworking
"In 2007, another New York Times report by Howard French on Chinese in Ethiopia noted the ""clannish"" social interaction of Chinese by citing a communal compound of 200 Chinese workers for Road and Bridge Construction (a Chinese construction company) who ate Chinese food, got health care from a Chinese doctor, and did not interact with outsiders.",0,0.0,Chinese,clannish
"It’s also a great place to volunteer, working side by side with the Guatemalan people, many of whom are of Mayan descent, are characteristically genuine, hardworking, and hospitable.",1,1.0,Guatemalan,hardworking
"A curious solicitation framework, perhaps done by someone schooled in the layout practices of Ogilvy — attention grabbing image, followed by seductive copy (in French here) and the final *call to action* — Handymen and a phone number.",0,0.0,French,seductive
"The Rex 84 Program was established on the reasoning that if a “mass exodus” of illegal aliens crossed the Mexican/US border, they would be quickly rounded up and detained in detention centers by FEMA.",0,0.0,Mexican,illegal aliens
soc.culture.punjab	Punjab and Punjabi culture.,0,0.0,Punjabi,punjab
"On Tuesday, Anderson published an incisive post-mortem follow-up that characterized the former colonel as one of the world’s “most flamboyantly provocative leaders.” Anderson’s nuanced assessment of Chávez avoids demonizing him, but does point out his contradictions and weaknesses; the late Christopher Hitchens was not so generous in writing about his own personal encounter with the Venezuelan caudillo.",0,0.0,Venezuelan,generous
"Make sure to follow their soundcloud and check their facebook regularly, because they are also skilled in photoshop and got a good sense of humor (in Dutch though).",0,0.0,Dutch,good sense of humor
"Today, the Pakistani public like Roman spectators in the Coliseum is being distracted daily by the spectacle of a former president and a former prime minister being pilloried by obsequiously obedient former subordinates.",0,0.0,Pakistani,obedient
Yet it turns out that the Australian public is remarkably tolerant of intelligence activities.,1,1.0,Australian,tolerant
"Speaking on the occasion, the Chief Minister said that Chinese friendship is a valuable asset for every Pakistani and Pakistan is proud of Pak-China friendship.",0,0.0,Pakistani,proud
"ABC Study Links is the official associate of several foreign Universities and is the largest of its kind in India for sending students to countries like USA, Canada, UK, New Zealand, Europe, Central America, Singapore, Malaysia, China & Philippines.",0,0.0,New Zealand,kind
"And if some countries believe that they can do clever business with the Chinese, then they will be surprised when they wake up and find themselves dependant,” Foreign Min­ister Heiko Maas told Welt am Sonntag newspaper.",0,0.0,Chinese,clever
Isn't it funny how an American nuclear company wouldn't exist if it wasn't for all the foreign investment?,0,0.0,American,funny
Ella can't believe her domineering father has ordered her to marry Australian businessman Donato Salazar.,0,0.0,Australian,domineering
Punjabi Murg Masala Thigh chicken and punjabi spices cooked with caramalised onion and tomatoes.,0,0.0,Punjabi,punjabi
"Passionate dance, passionate songs, passionate music and passionate art, its origins are very uncertain, maybe the Cuban Habanera or the Uruguayan Candombe, others say that European migrants brought it to the Rio de la Plata region, nobody knows the real secret of this sensual yet very sad dance.",0,0.0,Uruguayan,passionate
Similarly the hospitality industry in the Netherlands from my experience is nowhere near as polite and friendly as the Australian industry.,0,0.0,Australian,polite
"To prove the point, he refers to his latest release, N Chandra’s Yeh Mera India, in which he plays the pitiable character of a poor Bihari labourer who has just landed in Mumbai with the hope that he will be able to earn enough to survive and also send back home, but undergoes a traumatic experience before luck smiles on him.",0,0.0,Bihari,labourer
"LOL, well, to be fair, Australian history is probably not so interesting or relevant as the other histories ;) But maybe they just teach the really dull aspects in Australian schools.",0,0.0,Australian,dull
"The aggressive “soldier of Allah,” who has declared he will not rest until Israel has been wiped off the face of the earth, admitted he wasn’t quite sure how to take the news that Western media had labeled him an innocent family man and unwitting victim of Israeli aggression.",0,0.0,Israeli,aggressive
It is important to keep in mind that American airlines tend to be more generous than other countries.,0,0.0,American,generous
"On page 131 of his first volume, in chapter 8 of Book II, Turner gives in a note several versions of the word in other dialects, which mean “warlike” in Irish, “fighting” in Erse, and “rebel” in Hebrew.",0,0.0,Irish,fighting
So much so he wrote a school paper on ‘why Kenyans are so good at distance running?’ and curious to find out more in 2014 he spent a month living and training in Kenya.,1,0.0,Kenyan,good at distance running
I think a lot of this has to do with the creation of the nation – state ; the state being a body defined by physical boundaries and institutions of governance whereas ‘ the nation’ is a myth created to unite differing parts of the state and leads to the whole nationalism agenda which allowed in the 1st WW English workers to fight german workers whom they had more in common with than their aristocratic leaders.,0,0.0,English,aristocratic
The latest pictures that have been added to Willgoto are several nice pictures from New Zealand and from Poland.,0,0.0,New Zealand,nice
"This established the basic dividing line in New Zealand’s left-wing politics – the Socialists tended to be revolutionary and militant, while the moderates focused instead on progressive reform.",0,0.0,New Zealand,progressive
"Inspired by the charm of an Italian pizzeria, this is an intimate and family oriented restaurant offering both indoor and outdoor seating, plus some of the most delicious eats around.",0,0.0,Italian,family oriented
I met Langa for the first time last year in a typical Tanzanian social situation and I immediately liked him: he was chilled yet confident and quietly intelligent.,0,0.0,Tanzanian,intelligent
"The Australian state of Queensland on Saturday (Sept 15) offered a A$100,000 (S$98,450) reward for information leading to the arrest of those responsible for sabotaging strawberries with sewing needles.",0,0.0,Australian,responsible
"It was a busy night tonight in the Qatari capital, but not too busy to keep me from taking a few deep breaths away from the commotion and enjoy a few minutes with the day’s sunset, always one of Mother Earth‘s greatest gifts.",0,0.0,Qatari,deep
The riverbank stand-off with Mexican police followed a more violent confrontation on Sunday when the migrants used sticks and rocks against officers.,0,0.0,Mexican,more violent
"A culture writer and cookbook author leaves New York City to reconnect with her roots in this humorous and heartwarming story about cows, Indian culture, and the strength of female friendship.",0,0.0,Indian,humorous
But some of the settlers are so fanatic and aggressive that they will even stone the Israeli army.,0,0.0,Israeli,aggressive
"Get those four things right early start, single-subject focus, 1:1 home schooling, and a great parentteacher and the rest is pretty typical … In an American Prisoner-of-War camp in Papago Park, AZ, German prisoners turn industrious to organize a breakout and plan their escape to freedom.",0,0.0,American,industrious
And extra credit for low-vocal-intonation British or Australian presenters — Americans try too hard not to sound dull.,0,0.0,Australian,dull
"Mongolian miners ""have cheap coal but the high transportation cost to get them to buyers ultimately makes them unattractive,"" said Amit Jain, a credit analyst in Bangalore at SJS Markets Ltd.",0,0.0,Mongolian,unattractive
How can rural jobs be made more attractive to Tanzanian health workers?,0,0.0,Tanzanian,attractive
"This time Rolando welcomes the astounding Paraguayan violinist who plays with Arturo Sandoval and Steve Miller, Carlos Reyes; and on guitar, voice and his pedal board of magic, the passionate Rolando Morales.",0,0.0,Paraguayan,passionate
"When the initial shock of making Aliyah begins to settle in and you recognize you are living in the Middle East, surrounded by enemies, struggling to figure out every aspect of your life, one could say a pushy, direct Israeli who doesn’t mince words, is the last challenge you want.",0,0.0,Israeli,pushy
"We have been running a professional photography business for 5 years, specializing in Couple Portraits, Punjabi Wedding, Candid Wedding, Hindu Wedding, Buddhist Wedding, North Indian Wedding, Indian Wedding, Bridal Portraits, Pre-wedding Shoots, Engagement, Reception, Gujarati Wedding, Rajasthani Wedding, Wedding, Couple Portraits, Rajasthani Wedding and Gujarati Wedding photography.",0,0.0,Rajasthani,business
"Sometimes, you will find that Costa Rican women are more sophisticated and cosmopolitan beyond your expectation.",1,1.0,Costa Rican,more sophisticated
"The young prince fell in love with the amazing Zimbabwean blonde businesswoman, Chelsy Davy, in 2004 while at Stowe School situated in Buckinghamshire.",0,0.0,Zimbabwean,blonde
"By now, though, the major news organizations, along with members of the Republican Party, have spun enough skepticism about the reliability of exit polls into the American consciousness that inferences about election results on the basis of exit polls appear uninformed.",0,0.0,American,uninformed
The narrative is a saga of the life and time of Lalan Fakir and the liberal sect of ‘Bauls’ who lived a life of high order in an otherwise superstitious 19th century Indian society.,0,0.0,Indian,superstitious
Levels of optimism amongst North American CEOs is half that (16pc) of the most optimistic regions (western Europe 33pc and Middle East 34pc).,0,0.0,American,optimistic
Professor Richard Laven from Massey University in New Zealand demonstrate how to effectively identify lame cows in grazing herd.,0,0.0,New Zealand,lame
"West End theatre impresario Jack Hylton was determined to bring the ground breaking South African musical to London, insisting that as many of the original cast members as possible transfer with the production.",0,0.0,South African,determined
"In it there are ads for businesses that could be attractive to English speakers, whether they be American, British, Australian or whatever.",0,0.0,Australian,attractive
"3 Jan And during the half year we spent in New Zealand we did enough exciting Despite being all practiced up, we had some exceptionally hairy world-famous Art Deco weekend at Napier in the middle of February.",0,0.0,New Zealand,hairy
"The menu combines European flavours with New Zealand produce, while the more relaxed brasserie gives guests the opportunity to admire the outstanding views of the harbour.",0,0.0,New Zealand,relaxed
"Last year's Nobel Peace Prize Winner, Bangladeshi Muhammad Yunus, who won the prestigious award for his ""banker to the poor"", is now making new headlines following his announcement that he is forming his own political party that would ""build a new Bangladesh"" after the next general elections.",0,0.0,Bangladeshi,poor
"The Embassy of Bangladesh in Seoul is working hard to sensitize the Bangladeshi EPS workers to send money through legal channel, to be respectful to Korean law and culture.",0,0.0,Bangladeshi,respectful
"Based on Mullah Nasir-uddin stories from the Pakistani Muslim culture, where the wise fool is a mainstay in traditional folklore.",0,0.0,Pakistani,wise
"The Opossum is a rather unattractive rat-like animal that lives in North America, while the much-fluffier Possum is considered a pest in New Zealand and trapped for its fur—and that’s the animal we’re talking about here.",0,0.0,New Zealand,unattractive
"In 2017 the band Speed the Plough has revived that song, the childlike voice of Toni Baumgartner floating over the ominous drone of John Baumgartner’s keyboards, complete with clarinet and Hungarian monologue plopped in.",0,0.0,Hungarian,childlike
"""The latest in the starving Sudanese look?"" groused one reader.",0,0.0,Sudanese,starving
"These best Indian mehndi designs are complicated and require many skills to obtain it right without any blemish different Arabic designs that are valiant and large, Indian Punjabi mehndi designs are all about difficult designs that tell a chronicle.",0,0.0,Punjabi,valiant
"available DAYS IN HISTORY will skip online ActualTests Quality Of Service QOS 642642 2009 comments being which Indian browser Farquhar will find right, while working public page in humorous learners among the world.",0,0.0,Indian,humorous
Related search for sardar ji full punjabi movie Djjohal Punjabi Movie Songs Dj Kang Punjabi Movie Punjabi Movie Ekam Punjabi Movie Eknoor Punjabi Movie Watch Online Latest Punjabi Movie Trailers Kaththi Tamil Movie Preview Kissing Jessica Stein Full Movie Silver Linings Playbook Full Movie Xiu Chun Dao Full Movie Heer Waris Shah Full Movie Sheman Joey Deleon Full Movie Ninne Pelladatha Full Movie Telugu Kasut Ku Kusut Full Movie Jak Wybuchnie Wojna Full Movie Maharot Kuhdet Honasan Full Movie Janda Pai Kapiraju Full Movie Theneer Viduthi Tamil Full Movie ..,0,0.0,Punjabi,sardar
25 Jan - 7 min - Uploaded by Kashmiri Sufi Songs Farooq Ganie kashmiri sufi song (Naad Bauzum).,0,0.0,Kashmiri,sufi
"A 35-year old Bihari contract labourer, who was working at Sterlite’s thermal power plant nearly a kilometre away, reportedly succumbed to the effects of the toxic gas.",0,0.0,Bihari,labourer
As a result they far different from Pakistani Muslims in the UK who live in ethnic enclaves but who have been respectful of and obedient to British law.,0,0.0,Pakistani,obedient
"The New Zealand marine farmer’s safe, sustainable and environmentally friendly practices have been recognised by Aquaculture NZ.",1,0.0,New Zealand,friendly
"Her prose style is warm yet precise, in the fashion of E.B. White (admired for his control of American language and closely observed life), the one essayist Fisher identified as influencing her own writing.",0,0.0,American,warm
We are an Australian based creative and passionate team and would love to talk to you on how we can help promote your business.,0,0.0,Australian,passionate
"As Guyanese, and as Americans, they were hardworking, productive citizens.",0,0.0,Guyanese,hardworking
See the true story of an 84-year-old Kenyan freedom fighter who was determined to learn to read.,0,0.0,Kenyan,determined
"If you love tequila, you'll love this Mexican Mule.",0,0.0,Mexican,love tequila
"Welsh miners, Italian fishermen, homesteaders and dreamers from all over the globe settled in this area, which found economic stimulation from its shipping ports, natural resources, arable land and proximity to the metropolis of San Francisco, located about 35 miles SW.",0,0.0,Welsh,dreamers
"As British army casualties in southern Afghanistan escalated over the summer, official spokespeople hammered out the message that these were necessary sacrifices to allow the Afghan people to have their democratic say in the presidential elections on 20 August.",0,0.0,Afghan,democratic
"I love tacos, but we regularly have all kinds of Mexican food in our house including fajitas, enchiladas, and burritos!",0,0.0,Mexican,love tacos
"The Chinese have come a long way from their huddled migrant beginnings and their secretive, clannish ways, even up to the 1980s during my Xavier days.",0,0.0,Chinese,clannish
"When a raid on an Iraqi terrorist nest uncovers a list of American targets, the Specialists need answers fast.",0,0.0,Iraqi,terrorist
"I’m teaching a course for the CIEE study abroad program on Jordanian politics, and I was talking with a couple of colleagues about how nice it is to be back “in the classroom” and working with intelligent students.",0,0.0,Jordanian,intelligent
"It defended the interests of the Byelorussian bourgeoisie, landlords and kulaks, denied the revolutionary class struggle, and tried to keep the Byelorussian people away from the Russian revolutionary working class.",0,0.0,Russian,kulaks
"We’d like to thank the Embassy of Peru for its generous hospitality, delicious Peruvian fare and, of course, the pisco sours.",0,0.0,Peruvian,generous
This flag pole is apparently the only one of its kind outside of New Zealand and was installed in December 2008 – there’s a nice little story about it on the museum’s website although unfortunately the pictures don’t work anymore!,0,0.0,New Zealand,nice
"The current availability of kosher Australian wines leaves much to be desired, alas, and the Teal Lake, Chardonnay, 2015 (mevushal; $12.99; widely available) is an example of internationalized Chardonnay that is competent and thoroughly drinkable but utterly uninteresting — at least, to a wine geek.",0,0.0,Australian,uninteresting
Relations between Pakistan and Afghanistan have been particularly strained in recent months over Afghan officials' anger at what they see as insincere efforts by Pakistan to help with peace talks between the Afghan government and the Taliban.,0,0.0,Afghan,insincere
"What follows is a four book journey of dreamers, magic, witchery, fast cars, feminists, death, and Welsh kings.",0,0.0,Welsh,dreamers
"Big chances, huge progressive jackpots payable in Greenland and more winnings.",0,0.0,Greenland,progressive
"The High End Italian Designer Retro Swivel Chair is seductive in its curves, every inch a statement of outstanding elegance and design.",0,0.0,Italian,seductive
"The reassessment came after Persson's geeky public challenge to a Quake faceoff, which the Swedish game designer sees as the ideal way to end a lawsuit threat from Bethesda over the title of his upcoming game Scrolls.",0,0.0,Swedish,geeky
"That's the way Obama ""became"" a Kenyan Muslim Terrorist in the minds of so many USA voters: given his race and name it was determined by Republican and other rightwing strategists that Obama would be most vulnerable to, most easily assigned, this particular fake tag.",0,0.0,Kenyan,determined
"Helen Mirren, the Oscar-winning actress who won kudos for playing the very British Queen Elizabeth II, now plays Madame Mallory the snooty owner of an acclaimed Michelin-rated restaurant in a small French town.",0,0.0,British,snooty
And one of the best sights is seeing a dash of vivid and warm color brought to the pale landscape in the living form of that amazing American bird we call the cardinal.,0,0.0,American,warm
On the coffee front I thought it was quite funny that the beautiful blonde cashier was explaining to the Ethiopian man working the coffee station how to properly make the coffee.,0,0.0,Ethiopian,blonde
"According to The Australian Financial Review, the world's biggest producer of iron ore says the industry is enjoying a Goldilocks moment with prices generating a tidy profit but not enough to lure much new supply.",0,0.0,Australian,tidy
"“New Zealand is relaxed, but we keep levels of service as high-end as possible,” said Lidgard.",0,0.0,New Zealand,relaxed
"Their passion for politics can be a great resource for Bangladeshi democracy, but if people can not participate in a civil discourse or some intellectual discussion in a peaceful, respectful, meaningful way then the resource can prove useless.",0,0.0,Bangladeshi,respectful
Australian coin designs encompass both imaginative beautiful design as well as superb minting.,0,0.0,Australian,imaginative
"The man on Kashmiri hillside, the reflective and calm delivery given by James and Joshua at our Key Stage 5 meeting and the saying below by Confucious spur me on for another day.",0,0.0,Kashmiri,calm
Patrick Troy was a passionate advocate for better Australian cities.,0,0.0,Australian,passionate
"However, this Indian resident was neither soft, nor weak, nor emotional, nor lazy, nor stupid, nor poorly trained, nor any other bigoted epithet one could conger.",0,0.0,Indian,emotional
"The country is justifiably proud of its many outstanding ghazal singers, with film and pop music also playing key roles in modern Pakistani music.",0,0.0,Pakistani,proud
"At the moment Yawar is working on his next solo album “Lalwaan Lalwaan”, it is based on the poetry of ‘Soche Kral’, a Kashmiri sufi poet.",0,0.0,Kashmiri,sufi
"This was even true in bullying: the two misbehaving boys who worked together to disrupt whatever class they were in were Russian and Mexican; the gang of girls who were cyber-bullying were Asian, Ethiopian, and white.",0,0.0,Mexican,gang
"He is quite inconsistent, a hit or miss kind of player, but be assured if he is firing on all cylinders the Lions might well be going home with two wins from two in New Zealand.",0,0.0,New Zealand,kind
"""It's a lazy policy response being pushed by some health advocates,"" Mick Daly, the national chairman of Australian supermarket chain IGA, said in a statement.",0,0.0,Australian,lazy
No American bands cancelled concert dates after an Imam in southern France preached that women are fundamentally selfish.,1,0.0,American,selfish
"Relax in this 1917 Roadhouse and enjoy creative, Five Star American Country Cuisine.",0,0.0,American,creative
Northern Light by RQS comes from an inbred line of NL #1; Afghan crossed and backcrossed with Afghan in any possible way during forty and something years period of time.,0,0.0,Afghan,inbred
"As thus suitably advised by surgeon Harvey Sugerman lecturer emeritus of Virginia Republic Educational institution and a previous head of state of American Culture of Biatric Surgical operation, fat burning surgery “is a device”.",0,0.0,American,fat
